"","Team","Games","Win-Loss","Off Rank","Off Plays","Off Yards","Off Yards/Play","Off TDs","Off Yards per Game","Def Rank","Def Plays","Yards Allowed","Yards/Play Allowed","Off TDs Allowed","Total TDs Allowed","Yards Per Game Allowed","First Down Rank","First Down Runs","First Down Passes","First Down Penalties","First Downs","First Down Def Rank","Opp First Down Runs","Opp First Down Passes","Opp First Down Penalties","Opp First Downs","4th Down Rank","4th Attempts","4th Conversions","4th Percent","4rd Down Def Rank","Opp 4th Conversion","Opp 4th Attempt","Opponent 4th Percent","Kickoff Return Rank","Kickoffs Returned","Kickoff Return Yards","Kickoff Return Touchdowns","Avg Yard per Kickoff Return","NA","Kickoff Return Def Rank","Opp Kickoff Returns","Kickoff Touchbacks","Opponent Kickoff Return Yards","Opp Kickoff Return Touchdowns Allowed","Avg Yards per Kickoff Return Allowed","Passing Off Rank","Pass Attempts","Pass Completions","Interceptions Thrown.x","Pass Yards","Pass Yards/Attempt","Yards/Completion","Pass Touchdowns","Pass Yards Per Game","Pass Def Rank","Opp Completions Allowed","Opp Pass Attempts","Opp Pass Yds Allowed","Opp Pass TDs Allowed","Yards/Attempt Allowed","Yards/Completion Allowed","Pass Yards Per Game Allowed","Penalty Rank","Penalties","Penalty Yards","Penalty Yards Per Game","Punt Return Rank","Punt Returns","Net Punt Return Yards","Punt Return Touchdowns","Avg Yards Per Punt Return","Punt Return Def Rank","Opp Punt Returns","Opp Net Punt Return Yards","Opp Punt Return Touchdowns Allowed","Avg Yards Allowed per Punt Return","Redzone Off Rank","Redzone Attempts","Redzone Rush TD","Redzone Pass TD","Redzone Field Goals Made","Redzone Scores","Redzone Points","Redzone Def Rank","Opp Redzone Attempts","Opp Redzone Rush TD Allowed","Opp Redzone Pass Touchdowns Allowed","Opp Redzone Field Goals Made","Opp Redzone Scores","Redzone Points Allowed","Rushing Off Rank","Rush Attempts","Rush Yds","Yards/Rush","Rushing TD","Rushing Yards per Game","Rushing Def Rank","Opp Rush Attempts","Opp Rush Yards Alloweed","Yds/Rush Allowed","Opp Rush Touchdowns Allowed","Rush Yards Per Game Allowed","Sack Rank","Sacks","Sack Yards","Average Sacks per Game","Scoring Def Rank","Touchdowns Allowed","Opponent Extra Points","2 Point Conversions Allowed","Opp Deflected Extra Points","Opp Feild Goals Made","Opp Safety","Points Allowed","Avg Points per Game Allowed","Scoring Off Rank","Touchdowns","PAT","2 Point Conversions","Defensive Points","Feild Goals","Safety","Total Points","Points Per Game","Tackle for Loss Rank","Solo Tackle For Loss","Assist Tackle For Loss","Tackle for Loss Yards","Total Tackle For Loss","Tackle For Loss Per Game","3rd Down Rank","3rd Attempts","3rd Conversions","3rd Percent","3rd Down Def Rank","Opp 3rd Conversion","Opp 3rd Attempt","Opponent 3rd Percent","Time of Possession Rank","Time of Possession","Average Time of Possession per Game","Turnover Rank","Fumbles Recovered","Opponents Intercepted","Turnovers Gain","Fumbles Lost","Interceptions Thrown.y","Turnovers Lost","Turnover Margin","Avg Turnover Margin per Game"
"1","Air Force (Mountain West)","13","10-3","51","947","5,502","5.81","52","423.2","4","737","3,855","5.23","33","34","296.5","3","80","105","15","200","3","80","105","15","200","4","32","41","0.780","18","10","25","0.400","94","35","29","794","1","22.69","94","35","29","794","1","22.69","128","113","55","4","1,242","10.99","22.58","8","95.5","19","190","340","2,527","15","7.43","13.30","194.4","10","56","510","39.23","7","8","21","0","2.62","7","8","21","0","2.62","78","58","35","4","9","48","0.828","17","35","15","6","5","26","0.743","1","834","4,260","5.11","44","327.7","9","397","1,328","3.35","18","102.2","3","11","46","0.85","16","34","31","2","0","6","0","257","19.8","47","52","48","4","0","11","1","403","31.0","75","54","34","382","71","5.5","20","196","88","0.449","81","69","172","0.401","1","   475:35","   36:35","31","7","8","15","5","4","9","6","0.46"
"2","Akron (MAC)","12","2-10","106","783","4,089","5.22","29","340.8","122","783","5,628","7.19","58","62","469.0","109","158","113","16","287","109","158","113","16","287","91","14","31","0.452","119","7","10","0.700","56","22","22","452","1","20.55","56","22","22","452","1","20.55","79","352","226","5","2,610","7.41","11.55","21","217.5","55","201","301","2,641","26","8.77","13.14","220.1","41","68","553","46.08","82","23","204","0","8.87","82","23","204","0","8.87","126","36","5","13","7","25","0.694","126","51","23","13","12","48","0.941","103","431","1,479","3.43","8","123.2","128","482","2,987","6.20","32","248.9","130","63","355","5.25","125","62","59","1","0","13","1","474","39.5","119","31","29","1","0","7","0","238","19.8","129","27","28","189","41","3.4","79","163","62","0.380","129","77","142","0.542","30","   373:41","   31:08","98","6","6","12","12","5","17","-5","-0.42"
